dataset_row_id,tenant,source_table,assignment_id,student_assignment_id,submission_id,graded_item_id,question_id,field_path,ui_surface,category,explicit_status,explicit_failure_reason,trusted_status,trusted_failure_reason,subject_name,grade_name,assignment_title,raw_text
latex-0000028,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = -\frac{1}{6}, \alpha\beta = -\frac{1}{3}"
latex-0000030,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[1].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\frac{(\alpha + \beta)^2 - 2\alpha\beta}{\alpha\beta}
latex-0000032,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[2].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,-\frac{25}{12}
latex-0000093,tenant_001,assignment_questions,assignment_000001,,,,question_000009,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = -\frac{7}{2}, \alpha\beta = \frac{5}{2}"
latex-0000101,tenant_001,assignment_questions,assignment_000001,,,,question_000010,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"x = -1, x = \frac{4}{3}"
latex-0000103,tenant_001,assignment_questions,assignment_000001,,,,question_000010,assignment_question.body.rubric_steps[1].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\frac{1}{3} = -\frac{-1}{3}
latex-0000105,tenant_001,assignment_questions,assignment_000001,,,,question_000010,assignment_question.body.rubric_steps[2].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,-\frac{4}{3} = \frac{-4}{3}
latex-0000119,tenant_001,assignment_questions,assignment_000001,,,,question_000012,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = 4, \alpha\beta = 3"
latex-0000139,tenant_001,assignment_questions,assignment_000001,,,,question_000014,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = 3, \alpha\beta = -2"
latex-0000141,tenant_001,assignment_questions,assignment_000001,,,,question_000014,assignment_question.body.rubric_steps[1].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"S = \frac{9}{16}, P = \frac{1}{16}"
latex-0000149,tenant_001,assignment_questions,assignment_000001,,,,question_000015,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = -p, \alpha\beta = q"
latex-0000167,tenant_001,assignment_questions,assignment_000001,,,,question_000017,assignment_question.body.ai_answer,question_body,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\{\frac{\sqrt{3}}{2}, \frac{\sqrt{3}}{3}\}"
latex-0000170,tenant_001,assignment_questions,assignment_000001,,,,question_000017,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"x = \frac{\sqrt{3}}{2}, \frac{\sqrt{3}}{3}"
latex-0000172,tenant_001,assignment_questions,assignment_000001,,,,question_000017,assignment_question.body.rubric_steps[1].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\frac{5\sqrt{3}}{6} = \frac{5\sqrt{3}}{6}
latex-0000174,tenant_001,assignment_questions,assignment_000001,,,,question_000017,assignment_question.body.rubric_steps[2].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\frac{1}{2} = \frac{1}{2}
latex-0000181,tenant_001,assignment_questions,assignment_000001,,,,question_000019,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"\alpha + \beta = -\frac{7}{2}, \alpha\beta = \frac{5}{2}"
latex-0000186,tenant_001,assignment_questions,assignment_000001,,,,question_000020,assignment_question.body.ai_answer,question_body,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,x^2 - 2\sqrt{3}x + 2
latex-0000189,tenant_001,assignment_questions,assignment_000001,,,,question_000020,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,x^2 - 2\sqrt{3}x + 2
latex-0000197,tenant_001,assignment_questions,assignment_000001,,,,question_000023,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\alpha\beta + \beta\gamma + \gamma\alpha = -5/6
latex-0000199,tenant_001,assignment_questions,assignment_000001,,,,question_000023,assignment_question.body.rubric_steps[1].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 10,assignment_title_000001,\alpha\beta\gamma = -1/6
latex-0000353,tenant_001,assignment_questions,assignment_000002,,,,question_000044,assignment_question.short_prompt,question_body,unbalanced_dollar,does_not_render,unbalanced_dollar,does_not_render,unbalanced_dollar,Mathematics,Class 11,assignment_title_000002,"The relation $f$ is defined by $f(x) = \begin{cases} x^2, & 0 \leq x \leq 3 \\ 9x, & 3 \leq x \leq 10 \end{cases}$ and the relation $g$ is defined by $g(x) = \begin{cases} x^2, & 0 \leq x \leq 5 \\ 3x..."
latex-0000377,tenant_001,assignment_questions,assignment_000002,,,,question_000047,assignment_question.short_prompt,question_body,unbalanced_dollar,does_not_render,unbalanced_dollar,does_not_render,unbalanced_dollar,Mathematics,Class 11,assignment_title_000002,"Let $A, B$ be any two (non-empty) sets and $R$ be a relation from $A$ to $B$, then inverse of relation $R$ denoted by $R^{-1}$ is a relation from $B$ to $A$ i.e. $R^{-1} \subseteq B \times A$.
Also, $..."
latex-0000455,tenant_001,assignment_questions,assignment_000002,,,,question_000061,assignment_question.body.ai_answer,question_body,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 11,assignment_title_000002,"(-\infty, 0]"
latex-0000458,tenant_001,assignment_questions,assignment_000002,,,,question_000061,assignment_question.body.rubric_steps[0].criterion,rubric_or_steps,missing_math_delimiters,renders_as_raw_latex,missing_math_delimiters,renders_correctly,,Mathematics,Class 11,assignment_title_000002,x^2 \ge 0
