dataset_row_id,tenant,source_table,assignment_id,student_assignment_id,submission_id,graded_item_id,question_id,field_path,ui_surface,category,explicit_status,explicit_failure_reason,trusted_status,trusted_failure_reason,subject_name,grade_name,assignment_title,raw_text
latex-0000001,tenant_001,assignment_questions,assignment_000001,,,,question_000001,assignment_question.short_prompt,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"If $\alpha$ and $\beta$ are the zeroes of the polynomial $x^2 - 1$, then the value of $(\alpha + \beta)$ is"
latex-0000002,tenant_001,assignment_questions,assignment_000001,,,,question_000001,assignment_question.body.question_text,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"If $\alpha$ and $\beta$ are the zeroes of the polynomial $x^2 - 1$, then the value of $(\alpha + \beta)$ is"
latex-0000005,tenant_001,assignment_questions,assignment_000001,,,,question_000001,assignment_question.body.ai_solution,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"Step 1: Identify the coefficients of the polynomial $x^2 - 1$.
The polynomial can be written as $1x^2 + 0x - 1$.
Here, $a = 1, b = 0, c = -1$.

Step 2: Find the sum of the zeroes.
The sum of zeroes $\alpha + \beta = -\frac{b}{a} = -\frac{0}{1} = 0$."
latex-0000023,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.short_prompt,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"If $\alpha$ and $\beta$ are the zeros of the quadratic polynomial $f(x) = 6x^2 + x - 2$, find the value of $\frac{\alpha}{\beta} + \frac{\beta}{\alpha}$"
latex-0000024,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.question_text,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"If $\alpha$ and $\beta$ are the zeros of the quadratic polynomial $f(x) = 6x^2 + x - 2$, find the value of $\frac{\alpha}{\beta} + \frac{\beta}{\alpha}$"
latex-0000026,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.ai_solution,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"Step 1: Identify the coefficients of the quadratic polynomial $f(x) = 6x^2 + x - 2$. Here, $a = 6, b = 1, c = -2$.

Step 2: Find the sum and product of the zeroes $\alpha$ and $\beta$. Sum $\alpha + \beta = -\frac{b}{a} = -\frac{1}{6}$. Product $\alpha\beta = \frac{c}{a} = \frac{-2}{6} = -\frac{1}{3}$.

Step 3: Express the required value $\frac{\alpha}{\beta} + \frac{\beta}{\alpha}$ in terms of sum and product: $\frac{\alpha}{\beta} + \frac{\beta}{\alpha} = \frac{\alpha^2 + \beta^2}{\alpha\beta} = \frac{(\alpha + \beta)^2 - 2\alpha\beta}{\alpha\beta}$.

Step 4: Substitute the values of $(\alpha + \beta)$ and $\alpha\beta$ into the expression: $\frac{(-\frac{1}{6})^2 - 2(-\frac{1}{3})}{-\frac{1}{3}}$.

Step 5: Simplify the numerator: $\frac{1}{36} + \frac{2}{3} = \frac{1 + 24}{36} = \frac{25}{36}$.

Step 6: Calculate the final result: $\frac{25/36}{-1/3} = \frac{25}{36} \times (-3) = -\frac{25}{12}$."
latex-0000027,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[0].description,rubric_or_steps,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,Correctly identified sum of zeros $\alpha + \beta = -\frac{1}{6}$ and product of zeros $\alpha\beta = -\frac{1}{3}$
latex-0000029,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[1].description,rubric_or_steps,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,Correctly expressed $\frac{\alpha}{\beta} + \frac{\beta}{\alpha}$ as $\frac{(\alpha + \beta)^2 - 2\alpha\beta}{\alpha\beta}$
latex-0000031,tenant_001,assignment_questions,assignment_000001,,,,question_000003,assignment_question.body.rubric_steps[2].description,rubric_or_steps,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,Substituted values and obtained final answer $-\frac{25}{12}$
latex-0000044,tenant_001,assignment_questions,assignment_000001,,,,question_000005,assignment_question.short_prompt,question_body,renders_correctly,renders_correctly,,renders_correctly,,Mathematics,Class 10,assignment_title_000001,"Statement A (Assertion) : If one zero of the polynomial $p(x) = (k^2 + 9)x^2 + 9x + 6k$ is the reciprocal of the other zero, then $k = 3$.
Statement R (Reason) : If $(x - \alpha)$ is a factor of the p..."
