dataset_row_id,tenant,source_table,assignment_id,student_assignment_id,submission_id,graded_item_id,question_id,field_path,ui_surface,category,explicit_status,explicit_failure_reason,trusted_status,trusted_failure_reason,subject_name,grade_name,assignment_title,raw_text
latex-0000096,tenant_001,assignment_questions,assignment_000001,,,,question_000010,assignment_question.short_prompt,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 10,assignment_title_000001,Find the zeroes of quadratic polynomial $3x^2 - x - 4$ and verify the relationship between the zeroes and their coefficients.
latex-0000097,tenant_001,assignment_questions,assignment_000001,,,,question_000010,assignment_question.body.question_text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 10,assignment_title_000001,Find the zeroes of quadratic polynomial $3x^2 - x - 4$ and verify the relationship between the zeroes and their coefficients.
latex-0000132,tenant_001,assignment_questions,assignment_000001,,,,question_000013,assignment_question.body.rubric_steps[3].description,rubric_or_steps,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 10,assignment_title_000001,"Correctly formed the cubic polynomial using the calculated values, e.g., $2x^3 + 3x^2 - 8x + 3$."
latex-0000365,tenant_001,assignment_questions,assignment_000002,,,,question_000045,assignment_question.body.options[0].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$2^9$
latex-0000366,tenant_001,assignment_questions,assignment_000002,,,,question_000045,assignment_question.body.options[1].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$9^2$
latex-0000367,tenant_001,assignment_questions,assignment_000002,,,,question_000045,assignment_question.body.options[2].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$3^2$
latex-0000368,tenant_001,assignment_questions,assignment_000002,,,,question_000045,assignment_question.body.options[3].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$2^9 - 1$
latex-0000419,tenant_001,assignment_questions,assignment_000002,,,,question_000054,assignment_question.body.options[0].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$5 - 4x$
latex-0000421,tenant_001,assignment_questions,assignment_000002,,,,question_000054,assignment_question.body.options[2].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$15 - 4x$
latex-0000422,tenant_001,assignment_questions,assignment_000002,,,,question_000054,assignment_question.body.options[3].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,$9 - 4x$
latex-0000655,tenant_001,assignment_questions,assignment_000002,,,,question_000095,assignment_question.body.rubric_steps[1].description,rubric_or_steps,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,Correctly applied the formula for the number of subsets to find the total number of relations as $2^{pq}$.
latex-0000671,tenant_001,assignment_questions,assignment_000002,,,,question_000098,assignment_question.body.rubric_steps[0].description,rubric_or_steps,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Mathematics,Class 11,assignment_title_000002,Identify the range of the expression inside the square root ($9 - x^2$).
latex-0001667,tenant_001,assignment_questions,assignment_000007,,,,question_000242,assignment_question.body.options[0].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 12,assignment_title_000007,Must be equal to $20Vcm^{-1}$
latex-0001668,tenant_001,assignment_questions,assignment_000007,,,,question_000242,assignment_question.body.options[1].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 12,assignment_title_000007,May be equal to $20Vcm^{-1}$
latex-0001956,tenant_001,assignment_questions,assignment_000008,,,,question_000274,assignment_question.body.expected_answer,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,a. $10^5kg$.
latex-0001959,tenant_001,assignment_questions,assignment_000008,,,,question_000274,assignment_question.body.options[0].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,$10^5kg$
latex-0001960,tenant_001,assignment_questions,assignment_000008,,,,question_000274,assignment_question.body.options[1].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,$10^7kg$
latex-0001961,tenant_001,assignment_questions,assignment_000008,,,,question_000274,assignment_question.body.options[2].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,$10^2kg$
latex-0001962,tenant_001,assignment_questions,assignment_000008,,,,question_000274,assignment_question.body.options[3].text,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,$10^9kg$
latex-0002071,tenant_001,assignment_questions,assignment_000008,,,,question_000285,assignment_question.body.parts[3].expected_answer,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,(b) $2ms^{-1}$
latex-0002306,tenant_001,assignment_questions,assignment_000008,,,,question_000306,assignment_question.body.expected_answer,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,(b) $2ms^{-1}$
latex-0002307,tenant_001,assignment_questions,assignment_000008,,,,question_000306,assignment_question.body.ai_answer,question_body,tricky_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,plain_text_or_currency_risk,currency_or_dollar_false_positive,Physics,Class 11,assignment_title_000008,(b) $2ms^{-1}$
